bitstring,count
000000000010,1.0
000000000101,290.0
000000000111,318.0
000000001101,261.0
000000001111,279.0
000000010001,1.0
000000010100,10.0
000000010110,9.0
000000011100,13.0
000000011110,11.0
000000100000,1.0
000000100101,295.0
000000100111,327.0
000000101101,280.0
000000101111,262.0
000000110100,13.0
000000110110,15.0
000000111011,1.0
000000111100,12.0
000000111110,12.0
000001000001,10.0
000001000011,10.0
000001001001,18.0
000001001011,10.0
000001010101,299.0
000001010111,279.0
000001011101,292.0
000001011111,282.0
000001100001,11.0
000001100011,6.0
000001101001,19.0
000001101011,14.0
000001110101,285.0
000001110111,267.0
000001111101,270.0
000001111111,262.0
000010000000,2.0
000010000101,252.0
000010000111,312.0
000010001101,283.0
000010001111,260.0
000010010100,5.0
000010010110,19.0
000010011011,1.0
000010011100,10.0
000010011110,10.0
000010100010,1.0
000010100101,293.0
000010100111,293.0
000010101000,1.0
000010101010,1.0
000010101101,275.0
000010101111,278.0
000010110001,1.0
000010110100,9.0
000010110110,15.0
000010111001,1.0
000010111100,9.0
000010111110,7.0
000011000001,16.0
000011000011,12.0
000011001001,12.0
000011001011,13.0
000011010101,289.0
000011010111,294.0
000011011101,286.0
000011011111,265.0
000011100001,8.0
000011100011,15.0
000011101001,9.0
000011101011,10.0
000011110101,254.0
000011110111,259.0
000011111101,273.0
000011111111,265.0
000100000001,6.0
000100000011,8.0
000100000100,322.0
000100000110,346.0
000100001001,17.0
000100001011,15.0
000100001100,290.0
000100001110,310.0
000100010101,1.0
000100011101,1.0
000100100001,12.0
000100100011,20.0
000100100100,302.0
000100100110,313.0
000100101001,8.0
000100101011,13.0
000100101100,304.0
000100101110,324.0
000100110101,1.0
000101000000,10.0
000101000010,10.0
000101000101,17.0
000101000111,18.0
000101001000,11.0
000101001010,8.0
000101001101,10.0
000101001111,6.0
000101010001,11.0
000101010011,14.0
000101010100,313.0
000101010110,328.0
000101011001,14.0
000101011011,15.0
000101011100,273.0
000101011110,269.0
000101100000,10.0
000101100010,7.0
000101100101,19.0
000101100111,11.0
000101101000,12.0
000101101010,8.0
000101101101,16.0
000101101111,13.0
000101110001,18.0
000101110011,8.0
000101110100,294.0
000101110110,292.0
000101111001,10.0
000101111011,6.0
000101111100,254.0
000101111110,282.0
000110000001,8.0
000110000011,16.0
000110000100,320.0
000110000110,299.0
000110001001,18.0
000110001011,13.0
000110001100,289.0
000110001110,326.0
000110011111,1.0
000110100001,8.0
000110100011,15.0
000110100100,320.0
000110100110,314.0
000110101001,8.0
000110101011,8.0
000110101100,292.0
000110101110,300.0
